name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed
Bulbasaur,GRASS,POISON,45,49,49,65,65,45
Ivysaur,GRASS,POISON,60,62,63,80,80,60
Venusaur,GRASS,POISON,80,82,83,100,100,80
Charmander,FIRE,,39,52,43,60,50,65
Charmeleon,FIRE,,58,64,58,80,65,80
Charizard,FIRE,FLYING,78,84,78,109,85,100
Squirtle,WATER,,44,48,65,50,64,43
Wartortle,WATER,,59,63,80,65,80,58
Blastoise,WATER,,79,83,100,85,105,78
Pikachu,ELECTRIC,,35,55,40,50,50,90
Gengar,GHOST,POISON,60,65,60,130,75,110
Gyarados,WATER,FLYING,95,125,79,60,100,81
Snorlax,NORMAL,,160,110,65,65,110,30
Garchomp,DRAGON,GROUND,108,130,95,80,85,102
Infernape,FIRE,FIGHTING,76,104,71,104,71,108
Swampert,WATER,GROUND,100,110,90,85,90,60
Lucario,FIGHTING,STEEL,70,110,70,115,70,90
Togekiss,FAIRY,FLYING,85,50,95,120,115,80
Dragapult,DRAGON,GHOST,88,120,75,100,75,142
Corviknight,FLYING,STEEL,98,87,105,53,85,67
